species,island,body_mass_g,big_size,species_simple
Adelie Penguin (Pygoscelis adeliae),Biscoe,3400,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3600,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3800,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3950,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3800,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3800,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3550,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3200,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3150,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3950,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3250,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3900,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3300,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3900,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3325,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4150,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3950,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3550,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3300,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4650,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3150,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3900,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3100,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4400,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3000,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4600,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3425,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,2975,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3450,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4150,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3500,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,4300,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3450,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,4050,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,2900,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3700,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3550,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3800,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,2850,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3750,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3150,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,4400,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3600,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,4050,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,2850,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3950,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3350,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,4100,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3350,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3550,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3800,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3500,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3950,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3600,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3550,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4300,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3400,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4450,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3300,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4300,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3700,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4350,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,2900,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4100,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3725,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,4725,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3075,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,4250,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,2925,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3550,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3750,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3900,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3175,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,4775,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3825,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,4600,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3200,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,4275,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,3900,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Biscoe,4075,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3500,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4475,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3425,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3900,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3175,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3975,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3400,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4250,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3400,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3475,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3050,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3725,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3000,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3650,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4250,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3475,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3450,FALSE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3750,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,3700,TRUE,adelie
Adelie Penguin (Pygoscelis adeliae),Dream,4000,TRUE,adelie
Gentoo penguin (Pygoscelis papua),Biscoe,4500,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5700,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4450,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5700,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5400,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4550,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4800,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5200,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4400,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5150,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4650,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5550,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4650,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5850,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4200,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5850,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4150,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,6300,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4800,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5350,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5700,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5000,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4400,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5050,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5000,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5100,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4100,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5650,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4600,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5550,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5250,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4700,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5050,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,6050,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5150,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5400,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4950,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5250,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4350,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5350,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,3950,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5700,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4300,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4750,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5550,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4900,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4200,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5400,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5100,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5300,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4850,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5300,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4400,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5000,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4900,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5050,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4300,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5000,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4450,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5550,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4200,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5300,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4400,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5650,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4700,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5700,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4650,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5800,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4700,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5550,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4750,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5000,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5100,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5200,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4700,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5800,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4600,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,6000,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4750,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5950,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4625,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5450,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4725,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5350,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4750,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5600,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4600,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5300,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4875,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5550,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4950,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5400,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4750,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5650,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4850,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5200,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4925,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4875,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4625,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5250,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4850,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5600,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4975,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5500,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4725,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5500,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4700,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5500,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4575,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5500,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5000,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5950,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4650,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5500,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4375,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5850,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4875,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,6000,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4925,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,NA,NA,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,4850,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5750,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5200,TRUE,gentoo
Gentoo penguin (Pygoscelis papua),Biscoe,5400,TRUE,gentoo
Chinstrap penguin (Pygoscelis antarctica),Dream,3500,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3900,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3650,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3525,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3725,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3950,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3250,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3750,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4150,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3700,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3800,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3775,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3700,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4050,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3575,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4050,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3300,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3700,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3450,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4400,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3600,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3400,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,2900,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3800,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3300,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4150,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3400,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3800,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3700,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4550,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3200,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4300,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3350,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4100,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3600,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3900,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3850,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4800,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,2700,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4500,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3950,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3650,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3550,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3500,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3675,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4450,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3400,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4300,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3250,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3675,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3325,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3950,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3600,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4050,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3350,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3450,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3250,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4050,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3800,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3525,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3950,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3650,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3650,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4000,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3400,FALSE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3775,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,4100,TRUE,chinstrap
Chinstrap penguin (Pygoscelis antarctica),Dream,3775,TRUE,chinstrap
